Rank,Name,Count2,Change in rank since 2017,Change in rank since 2008,,Rank,Name,Count2,Change in rank since 2017,Change in rank since 2008
,,,,,,,,,,
,,,,,,,,,,
1,OLIVER,"5,390",0,+1,,51,LUCA,"1,291",+4,+23
2,GEORGE,"4,960",+1,+10,,52,ALBIE,"1,284",+5,+289*
3,HARRY,"4,512",-1,+1,,53,HUGO,"1,279",-5,+111*
4,NOAH,"4,107",0,+41,,54,ZACHARY,"1,265",-9,+18
5,JACK,"3,988",0,-4,,55,ALBERT,"1,264",+4,+116*
6,LEO,"3,721",+1,+34,,56,JUDE,"1,182",-6,+47*
7,ARTHUR,"3,644",+12,+94*,,57,TOBY,"1,178",-10,-3
8,MUHAMMAD,"3,507",+2,+29,,58,RILEY,"1,168",-15,-25
9,OSCAR,"3,459",-1,+21,,59,EZRA,"1,118",+22,+441*
10,CHARLIE,"3,365",-1,-3,,60,CARTER,"1,030",+2,+198*
11,JACOB,"3,350",-5,+9,,61,GABRIEL,"1,022",+3,+17
12,THOMAS,"3,243",+1,-9,,62,ROMAN,"1,018",+13,+144*
13,HENRY,"3,172",0,+25,,63,FRANKIE,"1,013",-3,+74*
14,WILLIAM,"3,015",-3,-4,,64,HARLEY,"1,011",-11,-1
15,ALFIE,"2,977",-3,-9,,65,FREDERICK,"1,010",+7,+37*
16,ARCHIE,"2,950",+2,+15,,66,RONNIE,989,-3,+50*
17,JOSHUA,"2,922",-2,-12,,67,JAKE,988,-11,-44
18,FREDDIE,"2,838",-2,+42,,68,ELLIOT,945,+1,+14
19,THEO,"2,741",+2,+39,,69,LOUIS,941,+13,-10
20,ISAAC,"2,578",+4,+19,,70,JENSON,912,-12,+162*
21,JAMES,"2,536",-4,-12,,71,MOHAMMAD,880,+8,-6
22,ALEXANDER,"2,517",0,-3,,72,STANLEY,877,-2,+40*
23,LOGAN,"2,320",-3,+21,,73,BOBBY,872,-8,+37*
24,EDWARD,"2,197",-1,+18,,74,MICHAEL,869,-6,-22
25,ETHAN,"2,106",+1,-10,,75,JESSE,861,+15,+131*
26,LUCAS,"2,098",-1,+10,,76,FINN,817,+20,+43*
27,JOSEPH,"1,989",+1,-14,,77,JAYDEN,792,-6,-48
28,SEBASTIAN,"1,964",+7,+49,,78,HARVEY,779,-12,-44
29,THEODORE,"1,932",+9,+99*,,79,CALEB,776,-2,+30*
30,FINLEY,"1,926",+1,+13,,80,JACKSON,764,-6,+111*
31,MAX,"1,867",-4,-7,,81,CHARLES,758,-8,-25
32,MOHAMMED,"1,846",-2,-16,,82,MATTHEW,757,-15,-54
33,SAMUEL,"1,788",-4,-22,,83,GRAYSON,742,+26*,+905*
34,HARRISON,"1,765",0,+1,,84,BLAKE,733,0,+7
35,BENJAMIN,"1,743",-2,-17,,85,LIAM,731,+6,-63
36,ARLO,"1,715",+6,+531*,,86,ELLIOTT,728,-6,+48*
37,DANIEL,"1,676",-5,-29,,87,ELLIS,726,+2,+2
38,ADAM,"1,672",-2,-6,,88,RALPH,719,+10,+218*
39,TEDDY,"1,663",0,+202*,,89,JASPER,708,+13*,+107*
40,MASON,"1,540",-3,+13,,89,ROWAN,708,+14*,+60*
41,ELIJAH,"1,519",0,+95*,,91,ALEX,696,+1,-44
42,REUBEN,"1,504",+7,+45,,91,RYAN,696,-8,-70
43,DYLAN,"1,465",-3,-26,,93,FELIX,689,+7,+24*
44,HUNTER,"1,410",+34,+1042*,,94,LUKE,677,-18,-69
45,REGGIE,"1,356",+6,+236*,,95,DEXTER,676,-9,+84*
46,JAXON,"1,346",+6,+511*,,96,OLLIE,659,-10,+54*
47,RORY,"1,323",+7,+95*,,97,LEON,655,+1,-35
48,LOUIE,"1,319",-2,+45,,98,TOBIAS,647,+6*,+47*
49,DAVID,"1,307",-5,+15,,99,SONNY,640,+15*,+9*
50,TOMMY,"1,299",+11,+97*,,100,DOMINIC,634,+15*,+5*
,,,,,,100,KAI,634,-7,-32
